Agent_ID,Sales_Closed,Total_Commission,Average_Commission_per_Sale,Region,Commission_Date
116,15,2822,100,North,2024-05-25
119,27,2496,100,North,2024-02-28
109,19,2814,100,South,2024-03-03
105,14,2011,100,North,2024-04-01
114,19,2317,100,West,2024-02-25
110,21,2591,100,North,2024-04-20
104,11,2215,100,South,2024-05-16
100,22,2338,100,West,2024-03-08
107,17,2775,100,North,2024-02-15
111,11,2990,100,East,2024-03-07
111,29,2660,100,West,2024-05-15
104,10,2080,100,West,2024-01-06
106,14,2726,100,East,2024-01-24
103,18,2484,100,East,2024-04-03
105,26,2373,100,West,2024-01-13
112,18,2975,100,East,2024-01-25
119,20,2709,100,South,2024-05-27
114,24,2199,100,South,2024-04-27
102,15,2536,100,South,2024-03-22
107,12,2465,100,West,2024-04-20
119,26,2088,100,East,2024-03-22
115,14,2267,100,East,2024-03-06
112,21,2654,100,North,2024-02-14
117,27,2570,100,North,2024-04-23
109,23,2921,100,East,2024-03-03
118,20,2488,100,East,2024-03-16
116,18,2876,100,East,2024-04-23
118,11,2537,100,West,2024-04-20
104,21,2046,100,East,2024-05-26
108,12,2287,100,North,2024-02-04
111,12,2777,100,West,2024-02-22
100,10,2015,100,East,2024-01-26
100,17,2710,100,North,2024-01-14
114,17,2400,100,West,2024-04-27
101,20,2918,100,East,2024-02-14
115,18,2793,100,East,2024-02-20
107,14,2980,100,East,2024-04-28
112,23,2085,100,West,2024-05-30
100,12,2249,100,North,2024-01-19
115,14,2390,100,North,2024-03-22
106,14,2781,100,South,2024-03-16
104,28,2334,100,East,2024-04-01
102,23,2628,100,South,2024-02-02
111,13,2518,100,South,2024-05-26
115,22,2136,100,North,2024-01-28
118,19,2882,100,West,2024-05-02
104,27,2687,100,West,2024-05-05
113,17,2839,100,North,2024-02-06
104,17,2497,100,West,2024-04-08
114,16,2826,100,South,2024-04-07
116,17,2726,100,East,2024-05-06
113,23,2476,100,North,2024-03-20
119,28,2593,100,East,2024-02-07
104,15,2222,100,West,2024-03-17
111,10,2989,100,East,2024-05-05
115,24,2371,100,West,2024-03-27
115,10,2934,100,West,2024-02-23
106,26,2994,100,South,2024-05-29
103,10,2401,100,West,2024-01-16
100,24,2442,100,South,2024-01-28
104,11,2489,100,South,2024-02-15
109,23,2614,100,South,2024-03-12
104,17,2272,100,North,2024-03-25
103,17,2525,100,North,2024-01-26
101,28,2158,100,West,2024-03-25
119,16,2151,100,South,2024-03-05
109,28,2994,100,North,2024-05-13
118,15,2619,100,South,2024-05-30
100,15,2187,100,East,2024-04-24
104,12,2812,100,East,2024-03-04
112,16,2097,100,East,2024-03-27
103,28,2130,100,West,2024-04-16
115,17,2804,100,South,2024-05-30
115,19,2170,100,East,2024-04-05
101,29,2935,100,North,2024-03-17
116,24,2985,100,East,2024-05-25
119,24,2182,100,East,2024-03-27
111,10,2982,100,East,2024-05-28
117,29,2363,100,West,2024-02-26
102,16,2038,100,North,2024-04-12
100,13,2526,100,South,2024-05-30
100,15,2887,100,North,2024-03-31
118,10,2496,100,South,2024-02-14
110,14,2515,100,West,2024-03-28
104,10,2348,100,West,2024-04-24
111,13,2981,100,West,2024-02-16
102,11,2920,100,West,2024-05-14
100,19,2396,100,South,2024-02-19
100,14,2721,100,East,2024-03-24
107,19,2160,100,South,2024-03-31
109,10,2015,100,North,2024-05-13
110,15,2492,100,West,2024-03-31
111,22,2425,100,West,2024-05-16
112,24,2107,100,North,2024-04-18
111,13,2893,100,South,2024-02-26
113,22,2449,100,East,2024-01-31
101,29,2310,100,East,2024-01-21
118,24,2738,100,North,2024-03-30
117,17,2169,100,East,2024-02-09
102,14,2545,100,South,2024-04-21
116,24,2413,100,South,2024-02-14
107,13,2250,100,North,2024-03-17
109,21,2758,100,South,2024-03-27
101,22,2780,100,West,2024-05-27
118,11,2140,100,North,2024-04-10
108,28,2273,100,South,2024-04-26
106,28,2415,100,North,2024-04-01
103,13,2607,100,East,2024-05-24
117,13,2738,100,South,2024-01-28
112,20,2890,100,West,2024-01-25
110,14,2038,100,South,2024-02-27
103,29,2813,100,North,2024-02-10
103,20,2028,100,North,2024-05-13
109,19,2957,100,South,2024-03-15
104,17,2476,100,West,2024-02-07
108,15,2317,100,West,2024-05-13
102,15,2244,100,West,2024-03-15
116,17,2747,100,North,2024-05-21
102,24,2696,100,South,2024-03-06
115,23,2271,100,East,2024-01-03
103,20,2439,100,North,2024-04-26
117,21,2747,100,West,2024-04-08
116,22,2238,100,South,2024-01-19
106,17,2376,100,West,2024-05-25
104,27,2265,100,East,2024-04-25
111,10,2925,100,West,2024-05-04
116,24,2920,100,West,2024-03-28
112,17,2358,100,East,2024-02-04
102,20,2339,100,South,2024-01-01
108,21,2388,100,North,2024-05-05
116,21,2576,100,South,2024-03-29
116,13,2989,100,East,2024-05-23
119,25,2688,100,West,2024-05-26
115,13,2002,100,South,2024-05-30
112,14,2428,100,North,2024-01-25
118,14,2141,100,East,2024-01-16
116,17,2375,100,South,2024-03-13
103,19,2669,100,North,2024-05-08
111,26,2323,100,East,2024-02-11
108,18,2145,100,North,2024-05-26
118,28,2957,100,East,2024-03-20
111,23,2292,100,West,2024-04-13
108,17,2664,100,South,2024-05-25
106,18,2431,100,North,2024-02-03
113,20,2704,100,East,2024-03-29
119,10,2948,100,North,2024-05-04
118,23,2974,100,North,2024-02-14
114,14,2584,100,South,2024-05-13
115,23,2398,100,West,2024-01-21
104,13,2816,100,North,2024-05-01
102,10,2888,100,East,2024-03-10
111,28,2343,100,East,2024-04-05
119,17,2963,100,West,2024-04-14
103,24,2139,100,East,2024-02-17
115,24,2186,100,West,2024-02-08
106,18,2804,100,East,2024-01-31
112,18,2060,100,South,2024-01-10
109,19,2996,100,North,2024-01-30
106,29,2938,100,South,2024-01-18
113,18,2379,100,North,2024-03-28
104,12,2709,100,North,2024-05-04
102,29,2806,100,North,2024-03-13
110,20,2439,100,South,2024-01-15
110,15,2318,100,North,2024-01-04
117,11,2301,100,South,2024-01-09
